filename,action,label,recorded,notes
groove_step_aligned_01.mp4,groove_step,aligned,,
groove_step_aligned_02.mp4,groove_step,aligned,,
groove_step_timing_01.mp4,groove_step,timing,,
groove_step_timing_02.mp4,groove_step,timing,,
groove_step_trajectory_01.mp4,groove_step,trajectory,,
groove_step_trajectory_02.mp4,groove_step,trajectory,,
groove_step_angle_01.mp4,groove_step,angle,,
groove_step_angle_02.mp4,groove_step,angle,,
arm_wave_aligned_01.mp4,arm_wave,aligned,,
arm_wave_aligned_02.mp4,arm_wave,aligned,,
arm_wave_timing_01.mp4,arm_wave,timing,,
arm_wave_timing_02.mp4,arm_wave,timing,,
arm_wave_trajectory_01.mp4,arm_wave,trajectory,,
arm_wave_trajectory_02.mp4,arm_wave,trajectory,,
arm_wave_angle_01.mp4,arm_wave,angle,,
arm_wave_angle_02.mp4,arm_wave,angle,,
cross_step_aligned_01.mp4,cross_step,aligned,,
cross_step_aligned_02.mp4,cross_step,aligned,,
cross_step_timing_01.mp4,cross_step,timing,,
cross_step_timing_02.mp4,cross_step,timing,,
cross_step_trajectory_01.mp4,cross_step,trajectory,,
cross_step_trajectory_02.mp4,cross_step,trajectory,,
cross_step_angle_01.mp4,cross_step,angle,,
cross_step_angle_02.mp4,cross_step,angle,,
